p,pi,theta,n,G2_z
100,0.008,0.39,1.7757011427566594,0.3597064800589678
100,0.008,0.4,1.7757011427566594,0.3597064800589678
100,0.008,0.41000000000000003,1.7757011427566594,0.3597064800589678
100,0.008,0.42000000000000004,1.7757011427566594,0.3597064800589678
100,0.008,0.43000000000000005,1.7757011427566594,0.3597064800589678
100,0.008,0.44000000000000006,1.7757011427566594,0.3597064800589678
100,0.008,0.45000000000000007,1.7757011427566594,0.3597064800589678
100,0.008,0.45999999999999996,1.7757011427566594,0.3597064800589678
100,0.008,0.47,1.7757011427566594,0.3597064800589678
100,0.008,0.48,1.7757011427566594,0.3597064800589678
100,0.008,0.49,1.7757011427566594,0.3597064800589678
100,0.008,0.5,1.7757011427566594,0.3597064800589678
100,0.012,0.1,-5.750124091010585,1.1759966486929856
100,0.012,0.11,-5.751044226768146,1.1759716939018765
100,0.012,0.12000000000000001,-5.7577525287122,1.1757890618010187
100,0.012,0.13,-5.800288774952835,1.1746323918289197
100,0.012,0.14,-5.800288774952835,1.1746323918289197
100,0.012,0.15000000000000002,-6.036642157617968,1.168421576978735
100,0.012,0.16,-6.036642157617968,1.168421576978735
100,0.012,0.17,-7.318058199717922,1.1409292603479886
100,0.012,0.18,-7.318058199717922,1.1409292603479886
100,0.012,0.19,-7.318058199717922,1.1409292603479886
100,0.012,0.2,-7.318058199717922,1.1409292603479886
100,0.012,0.21000000000000002,-24.023116239917957,1.0446086616558683
100,0.012,0.22,-24.023116239917957,1.0446086616558683
100,0.012,0.23,-24.023116239917957,1.0446086616558683
100,0.012,0.24000000000000002,-24.023116239917957,1.0446086616558683
100,0.012,0.25,-24.023116239917957,1.0446086616558683
100,0.012,0.26,5.496217361089914,0.794175105056351
100,0.012,0.27,5.496217361089914,0.794175105056351
100,0.012,0.28,5.496217361089914,0.794175105056351
100,0.012,0.29000000000000004,5.496217361089914,0.794175105056351
100,0.012,0.30000000000000004,5.496217361089914,0.794175105056351
100,0.012,0.31,5.496217361089914,0.794175105056351
100,0.012,0.32,5.496217361089914,0.794175105056351
100,0.012,0.33,5.496217361089914,0.794175105056351
100,0.012,0.33999999999999997,1.7248046950600306,0.3646119906113712
100,0.012,0.35,1.7248046950600306,0.3646119906113712
100,0.012,0.36,1.7248046950600306,0.3646119906113712
100,0.012,0.37,1.7248046950600306,0.3646119906113712
100,0.012,0.38,1.7248046950600306,0.3646119906113712
100,0.012,0.39,1.7248046950600306,0.3646119906113712
100,0.012,0.4,1.7248046950600306,0.3646119906113712
100,0.012,0.41000000000000003,1.7248046950600306,0.3646119906113712
100,0.012,0.42000000000000004,1.7248046950600306,0.3646119906113712
100,0.012,0.43000000000000005,1.7248046950600306,0.3646119906113712
100,0.012,0.44000000000000006,1.7248046950600306,0.3646119906113712
100,0.012,0.45000000000000007,1.7248046950600306,0.3646119906113712
100,0.012,0.45999999999999996,1.7248046950600306,0.3646119906113712
100,0.012,0.47,1.7248046950600306,0.3646119906113712
100,0.012,0.48,1.7248046950600306,0.3646119906113712
100,0.012,0.49,1.7248046950600306,0.3646119906113712
100,0.012,0.5,1.7248046950600306,0.3646119906113712
100,0.016,0.1,-1.7889220183496297,1.5679566507271385
100,0.016,0.11,-1.7899203616134987,1.5677250188853598
100,0.016,0.12000000000000001,-1.7952996417348288,1.566458764816969
100,0.016,0.13,-1.8205110852841706,1.5604684090318903
100,0.016,0.14,-1.8205110852841706,1.5604684090318903
100,0.016,0.15000000000000002,-1.9241588197547448,1.5364418733286942
100,0.016,0.16,-1.9241588197547448,1.5364418733286942
100,0.016,0.17,-2.327771621940215,1.456999295600383
100,0.016,0.18,-2.327771621940215,1.456999295600383
100,0.016,0.19,-2.327771621940215,1.456999295600383
100,0.016,0.2,-2.327771621940215,1.456999295600383
100,0.016,0.21000000000000002,-4.487257338796132,1.249096379417776
100,0.016,0.22,-4.487257338796132,1.249096379417776
100,0.016,0.23,-4.487257338796132,1.249096379417776
100,0.016,0.24000000000000002,-4.487257338796132,1.249096379417776
100,0.016,0.25,-4.487257338796132,1.249096379417776
100,0.016,0.26,7.356793381233285,0.8453270316736528
100,0.016,0.27,7.356793381233285,0.8453270316736528
100,0.016,0.28,7.356793381233285,0.8453270316736528
100,0.016,0.29000000000000004,7.356793381233285,0.8453270316736528
100,0.016,0.30000000000000004,7.356793381233285,0.8453270316736528
100,0.016,0.31,7.356793381233285,0.8453270316736528
100,0.016,0.32,7.356793381233285,0.8453270316736528
100,0.016,0.33,7.356793381233285,0.8453270316736528
100,0.016,0.33999999999999997,1.46008888106399,0.32799755487652604
100,0.016,0.35,1.46008888106399,0.32799755487652604
100,0.016,0.36,1.46008888106399,0.32799755487652604
100,0.016,0.37,1.46008888106399,0.32799755487652604
100,0.016,0.38,1.46008888106399,0.32799755487652604
