p,q,theta,mu,rhoA0,rhoA,rhoB,rho
100,1500,0.4,0.0,0.275,1.0,0.0,0.5
100,1500,0.4,0.0,0.30000000000000004,1.0,0.0,0.5
100,1500,0.4,0.0,0.325,1.0,0.0,0.5
100,1500,0.4,0.0,0.35000000000000003,1.0,0.0,0.5
100,1500,0.4,0.0,0.375,1.0,0.0,0.5
100,1500,0.4,0.0,0.4,1.0,0.0,0.5
100,1500,0.4,0.0,0.42500000000000004,1.0,0.0,0.5
100,1500,0.4,0.0,0.45,1.0,0.0,0.5
100,1500,0.4,0.0,0.47500000000000003,1.0,0.0,0.5
100,1500,0.4,0.0,0.5,1.0,0.0,0.5
100,1500,0.4,0.0,0.525,1.0,0.0,0.5
100,1500,0.4,0.0,0.55,1.0,0.0,0.5
100,1500,0.4,0.0,0.5750000000000001,1.0,0.0,0.5
100,1500,0.4,0.0,0.6000000000000001,1.0,0.0,0.5
100,1500,0.4,0.0,0.625,1.0,0.0,0.5
100,1500,0.4,0.0,0.65,1.0,0.0,0.5
100,1500,0.4,0.0,0.675,1.0,0.0,0.5
100,1500,0.4,0.0,0.7000000000000001,1.0,0.0,0.5
100,1500,0.4,0.0,0.7250000000000001,1.0,0.0,0.5
100,1500,0.4,0.0,0.75,1.0,0.0,0.5
100,1500,0.4,0.0,0.775,1.0,0.0,0.5
100,1500,0.4,0.0,0.8,1.0,0.0,0.5
100,1500,0.4,0.0,0.8250000000000001,1.0,0.0,0.5
100,1500,0.4,0.0,0.8500000000000001,1.0,0.0,0.5
100,1500,0.4,0.0,0.875,1.0,0.0,0.5
100,1500,0.4,0.0,0.9,1.0,0.0,0.5
100,1500,0.4,0.0,0.925,1.0,0.0,0.5
100,1500,0.4,0.0,0.9500000000000001,1.0,0.0,0.5
100,1500,0.4,0.0,0.9750000000000001,1.0,0.0,0.5
100,1500,0.4,0.0,1.0,1.0,0.0,0.5
100,1500,0.5,0.0,0.0,0.0,0.0,0.0
100,1500,0.5,0.0,0.025,0.025000000000267007,0.0,0.012500000000133503
100,1500,0.5,0.0,0.05,0.05000000010466676,0.0,0.02500000005233338
100,1500,0.5,0.0,0.07500000000000001,0.07500000564288575,0.0,0.03750000282144288
100,1500,0.5,0.0,0.1,0.10000011364290694,0.0,0.05000005682145347
100,1500,0.5,0.0,0.125,0.12500124471575552,0.0,0.06250062235787776
100,1500,0.5,0.0,0.15000000000000002,0.15000894518918828,0.0,0.07500447259459414
100,1500,0.5,0.0,0.17500000000000002,0.1750470717680543,0.0,0.08752353588402716
100,1500,0.5,0.0,0.2,0.2001950124365168,0.0,0.1000975062182584
100,1500,0.5,0.0,0.225,0.22567180864566835,0.0,0.11283590432283418
100,1500,0.5,0.0,0.25,0.2520224944195974,0.0,0.1260112472097987
100,1500,0.5,0.0,0.275,0.28065016026042044,0.0,0.14032508013021022
100,1500,0.5,0.0,0.30000000000000004,0.31680040707582297,0.0,0.15840020353791148
100,1500,0.5,0.0,0.325,1.0,0.0,0.5
100,1500,0.5,0.0,0.35000000000000003,1.0,0.0,0.5
100,1500,0.5,0.0,0.375,1.0,0.0,0.5
100,1500,0.5,0.0,0.4,1.0,0.0,0.5
100,1500,0.5,0.0,0.42500000000000004,1.0,0.0,0.5
100,1500,0.5,0.0,0.45,1.0,0.0,0.5
100,1500,0.5,0.0,0.47500000000000003,1.0,0.0,0.5
100,1500,0.5,0.0,0.5,1.0,0.0,0.5
100,1500,0.5,0.0,0.525,1.0,0.0,0.5
100,1500,0.5,0.0,0.55,1.0,0.0,0.5
100,1500,0.5,0.0,0.5750000000000001,1.0,0.0,0.5
100,1500,0.5,0.0,0.6000000000000001,1.0,0.0,0.5
100,1500,0.5,0.0,0.625,1.0,0.0,0.5
100,1500,0.5,0.0,0.65,1.0,0.0,0.5
100,1500,0.5,0.0,0.675,1.0,0.0,0.5
100,1500,0.5,0.0,0.7000000000000001,1.0,0.0,0.5
100,1500,0.5,0.0,0.7250000000000001,1.0,0.0,0.5
100,1500,0.5,0.0,0.75,1.0,0.0,0.5
100,1500,0.5,0.0,0.775,1.0,0.0,0.5
100,1500,0.5,0.0,0.8,1.0,0.0,0.5
100,1500,0.5,0.0,0.8250000000000001,1.0,0.0,0.5
100,1500,0.5,0.0,0.8500000000000001,1.0,0.0,0.5
100,1500,0.5,0.0,0.875,1.0,0.0,0.5
100,1500,0.5,0.0,0.9,1.0,0.0,0.5
100,1500,0.5,0.0,0.925,1.0,0.0,0.5
100,1500,0.5,0.0,0.9500000000000001,1.0,0.0,0.5
100,1500,0.5,0.0,0.9750000000000001,1.0,0.0,0.5
100,1500,0.5,0.0,1.0,1.0,0.0,0.5
100,1500,0.1,0.025,0.0,0.0,0.0,0.0
100,1500,0.1,0.025,0.025,0.9999999999999997,0.9999999999999997,0.9999999999999997
100,1500,0.1,0.025,0.05,0.9999999999999997,0.9999999999999997,0.9999999999999997
100,1500,0.1,0.025,0.07500000000000001,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.1,0.9999999999999997,0.9999999999999997,0.9999999999999997
100,1500,0.1,0.025,0.125,0.9999999999999997,0.9999999999999997,0.9999999999999997
100,1500,0.1,0.025,0.15000000000000002,0.9999999999999997,0.9999999999999997,0.9999999999999997
100,1500,0.1,0.025,0.17500000000000002,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.2,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.225,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.25,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.275,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.30000000000000004,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.325,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.35000000000000003,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.375,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.4,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.42500000000000004,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.45,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.47500000000000003,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.5,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.525,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.55,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.5750000000000001,0.9999999999999998,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.6000000000000001,0.9999999999999999,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.625,0.9999999999999999,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.65,0.9999999999999999,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.675,0.9999999999999999,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.7000000000000001,0.9999999999999999,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.7250000000000001,0.9999999999999999,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.75,0.9999999999999999,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.775,0.9999999999999999,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.8,1.0,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.8250000000000001,1.0,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.8500000000000001,1.0,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.875,1.0,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.9,1.0,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.925,1.0,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.9500000000000001,1.0,0.9999999999999997,0.9999999999999998
100,1500,0.1,0.025,0.9750000000000001,1.0,0.9999999999999997,0.9999999999999998
